"Ведомость учета муниципального жилого фонда, закрепленного в оперативное управление МКУ ""Жилищное управление г. Орла"" по состоянию на 01-04-22";;;;;;;
№ п/п;Адрес дома;Количество жилых объектов, всего;Общая площадь жилых объектов, всего м2;Количество муниципальных жилых объектов;Общая площадь муниципальных жилых объектов, м2;В мун. собств.%;Муниципальные жилые объекты
1330;Коллективная ул 8 ;;28,6;1;28,6;;9
1331;Колпакчи ул 11 А;10;372,3;2;62,5;16,79;3,8,
1332;Колпакчи ул 11 Б;12;305,8;3;100,5;65,63;4, 4.1, 8
1333;Колпакчи ул 11 Б;;49,1;1;49,1;;3(24/49)
1334;Колпакчи ул 11 Б;;51,1;1;51,1;;1(24/51)
1335;Колпакчи ул 16 ;8;280,5;1;37,8;13,48;6,
1336;Колпакчи ул 18 ;8;422,2;2;99,4;23,54;12,13-14
1337;Колпакчи ул 20 ;2;53,6;1;26;48,51;1
1338;Колпакчи ул 26 ;16;543,1;0;0;0,00;
1339;Колпакчи ул 31 ;12;478,52;3;113,1;23,64;3, 7, 6
1340;Колпакчи ул 32 ;11;497;2;122,4;28,09;1,8,
1341;Колпакчи ул 32 ;;17,2;1;17,2;;2.3,
1342;Коммуны ул 1 ;4;203,2;0;0;0,00;
1343;Коммуны ул 15 ;5;205,6;0;0;0,00;
1344;Коммуны ул 19 ;20;731,8;7;279,2;38,15;4,5,6,9,10,19,24,
1345;Коммуны ул 3 ;1;40,6;0;0;0,00;
1346;Коммуны ул 7 ;2;88;0;0;0,00;
1347;Комсомольская ул 106 ;129;2932,1;17;439,1;15,45;14,30-3,32,33,42,55,57,58-5,63-6,65-6,88-8,112-3,125,131,145,156-157,159,
1348;Комсомольская ул 106 ;;13,9;1;13,9;;10
1349;Комсомольская ул 120 ;76;3359,6;2;102,2;3,04;38,39,
1350;Комсомольская ул 122 ;40;1595,6;2;98;6,14;10, 33
1351;Комсомольская ул 124 ;38;1485,2;0;0;0,00;
1352;Комсомольская ул 126 ;80;3535,4;4;188,8;5,34;14, 21, 35, 46
1353;Комсомольская ул 127 ;148;5828,2;10;412,73;7,08;6, 34, 43, 75, 76.1, 76.3, 91, 122, 123, 136
1354;Комсомольская ул 128 ;60;2588,9;4;190,2;7,35;11, 27, 50, 59
1355;Комсомольская ул 129 ;40;1599,5;4;171,5;10,72;20,23,38,39,
1356;Комсомольская ул 131 ;71;2726,7;3;129,7;4,76;6, 47, 76
1357;Комсомольская ул 132 ;60;2593,6;5;211,1;8,14;4, 9, 49, 54, 58
1358;Комсомольская ул 135 ;40;1604,7;0;0;0,00;
1359;Комсомольская ул 137 ;40;1586,9;0;0;0,00;
1360;Комсомольская ул 139 ;64;2539,3;3;116,2;4,58;45, 56, 59
1361;Комсомольская ул 141 ;38;1521,3;2;84,8;5,57;10,33,
1362;Комсомольская ул 144 ;68;4465,8;5;326,8;7,32;33, 38, 63, 66, 67
1363;Комсомольская ул 15 ;9;468;0;0;0,00;
1364;Комсомольская ул 165 ;37;1642,1;3;130,4;7,94;14, 26, 35
1365;Комсомольская ул 169 ;26;1287,6;4;106;8,23;2,2/1,2/2,5.1,
1366;Комсомольская ул 174 ;9;267,9;1;37,2;13,89;6,
1367;Комсомольская ул 183 ;48;2571,1;2;93,7;3,64;43,48,
1368;Комсомольская ул 185 ;33;1377,2;0;0;3,01;
1369;Комсомольская ул 185 ;;41,5;1;41,5;;28
1370;Комсомольская ул 187 ;24;1609,2;0;0;0,00;
1371;Комсомольская ул 189 ;21;1381,9;1;17,4;1,26;22 (специализированный служебный жилищный фонд)
1372;Комсомольская ул 191 ;123;5692;8;404;7,10;28, 39, 86, 93, 113, 116, 117, 125
1373;Комсомольская ул 192 ;80;3553,1;5;222,2;6,25;20, 63, 65, 69, 70
1374;Комсомольская ул 193 ;127;5928,9;2;101,3;1,71;88, 120
1375;Комсомольская ул 194 ;60;2598,4;1;58,5;2,25;29
1376;Комсомольская ул 196 ;64;2839,8;5;199,3;7,02;10, 30, 38, 40, 56
1377;Комсомольская ул 198 ;60;2598,5;4;205,6;7,91;9, 33, 37, 49
1378;Комсомольская ул 20 ;34;1297,5;2;61,3;4,72;5, 19
1379;Комсомольская ул 200 ;80;3544,9;8;340,5;9,61;5, 10, 18, 33, 57, 62, 65, 77
1380;Комсомольская ул 202 ;60;2600;5;249,1;9,58;21,29,53,55,60,
1381;Комсомольская ул 204 ;60;2594,4;2;100,8;3,89;18,33,
1382;Комсомольская ул 206 ;88;3375,6;5;213,4;6,32;1, 20, 28, 49, 60
1383;Комсомольская ул 227 ;37;1591,1;1;30,9;1,94;13
1384;Комсомольская ул 229 ;27;1498;3;187,1;12,49;8, 11.1, 12
1385;Комсомольская ул 234 ;56;2293,9;1;42,3;1,84;53,
1386;Комсомольская ул 235 ;26;1623,9;0;0;0,00;
1387;Комсомольская ул 235 А;33;1942,1;3;173,8;8,95;16, 21, 24
1388;Комсомольская ул 236 ;60;2579,5;1;44,7;1,73;21 (специализированный служебный жилищный фонд)
1389;Комсомольская ул 237 ;25;1596,9;1;60,3;3,78;4
1390;Комсомольская ул 238 ;64;2567;0;0;0,00;
1391;Комсомольская ул 239 ;23;1539,8;0;0;0,00;
1392;Комсомольская ул 240 ;64;2585,1;6;246,2;9,52;4,5,15,30,42,48,
1393;Комсомольская ул 241 ;23;1196,5;1;19,8;1,65;16,
1394;Комсомольская ул 243 ;60;2743,2;5;248,9;9,07;1,6,18,25,29,
1395;Комсомольская ул 244 ;109;4214,5;8;342;8,11;7, 11, 20, 22, 58, 71.2, 71.3, 90
1396;Комсомольская ул 245 ;48;2214,7;5;245,6;11,09;7, 10, 11, 36, 43
1397;Комсомольская ул 246 ;80;3561,6;3;133,8;3,76;24,40,53,
1398;Комсомольская ул 247 ;64;2549,1;3;131,9;5,17;16, 18, 20
1399;Комсомольская ул 247 А;36;1427,2;0;0;0,00;
1400;Комсомольская ул 248 ;48;2039,1;1;31,7;1,55;43
1401;Комсомольская ул 249 ;64;2528,3;2;111,3;4,40;12, 29
1402;Комсомольская ул 249 А;56;2728,3;1;51,9;1,90;1
1403;Комсомольская ул 25 ;36;1377,8;0;0;0,00;
1404;Комсомольская ул 250 ;80;3567,2;1;42,9;1,20;10
1405;Комсомольская ул 251 ;71;2807,3;2;97,3;3,47;10, 16
1406;Комсомольская ул 252 ;60;2604,3;3;105,6;4,05;2, 9, 38
1407;Комсомольская ул 253 ;64;2514;1;40,9;1,63;45,
1408;Комсомольская ул 253 А;36;1430,9;1;55;3,84;30
1409;Комсомольская ул 254 ;60;2595,3;3;122,4;4,72;15, 16, 30
1410;Комсомольская ул 255 ;62;2449,4;3;116,2;6,43;27 (специализированный служебный жилищный фонд), 40, 52
1411;Комсомольская ул 255 ;;41,3;1;41,3;;28
1412;Комсомольская ул 256 ;48;2063,8;1;32,3;1,57;12
1413;Комсомольская ул 257 ;26;1466,8;0;0;0,00;
1414;Комсомольская ул 258 ;80;3530,2;6;295,6;8,37;25, 26, 28, 36, 54, 73
1415;Комсомольская ул 259 ;29;1581,18;0;0;0,00;
1416;Комсомольская ул 260 ;49;2119;2;92,6;4,37;18, 35
1417;Комсомольская ул 261 ;24;1545,65;0;0;3,64;
1418;Комсомольская ул 261 ;;56,3;1;56,2;;21
1419;Комсомольская ул 262 ;81;3491,6;4;202,2;7,46;24, 36, 51, 71
1420;Комсомольская ул 262 ;;58,4;1;58,4;;15
1421;Комсомольская ул 264 ;60;2596,5;5;190,8;7,35;14, 23, 42, 43, 56
1422;Комсомольская ул 266 ;60;2585,4;4;135,1;5,23;3, 9, 10, 56
1423;Комсомольская ул 270 ;48;2089,7;3;138,3;6,62;10,11,12,
1424;Комсомольская ул 272 ;186;9832,2;0;0;0,00;
1425;Комсомольская ул 272 ;;15,4;0;0;;
1426;Комсомольская ул 274 ;222;12250,6;13;792,2;6,47;4, 27, 31, 40, 41, 80, 101, 116, 124, 139, 180, 212, 216
1427;Комсомольская ул 282 ;216;11810,7;10;552,2;4,68;72, 99, 102, 104, 130, 137, 181, 198, 210, 213
1428;Комсомольская ул 284 ;146;7837,4;8;385,3;4,92;4, 9, 29, 39, 72, 122, 138, 142
1429;Комсомольская ул 286 ;182;9787,1;12;596,6;6,10;1,1.1,13,20,37,47,49,76,102,118,144,163,
1430;Комсомольская ул 288 ;160;8588;19;854,3;9,95;17, 38, 49, 53, 57, 61, 73, 81, 84, 93, 110, 113, 118, 121, 122
1431;Комсомольская ул 300 ;80;3579,5;9;414,7;11,59;16, 17, 18, 24, 56, 58, 59, 64, 69
1432;Комсомольская ул 302 ;80;3550,3;0;0;0,00;
1433;Комсомольская ул 304 ;80;3577,2;2;117,5;3,28;28, 41
1434;Комсомольская ул 306 ;81;3581,5;0;0;1,29;
1435;Комсомольская ул 306 ;;46,3;1;46,3;;15 Г(1/3,
1436;Комсомольская ул 310 ;80;3612;2;91,5;2,53;19, 57
1437;Комсомольская ул 312 ;80;3610,17;0;0;0,00;
1438;Комсомольская ул 314 ;80;3585,8;3;160,4;4,47;8, 28, 75
1439;Комсомольская ул 316 ;62;2617,4;2;86,9;3,32;31, 39
1440;Комсомольская ул 322 ;82;3547,9;7;350,4;9,88;1, 35, 37, 40, 53, 61, 79
1441;Комсомольская ул 324 ;62;2609,4;3;134;5,14;6, 16, 60
1442;Комсомольская ул 326 ;80;3541,5;0;0;0,00;
1443;Комсомольская ул 328 ;83;3543,95;7;338,4;10,69;6, 25, 36, 49, 54, 56, 58
1444;Комсомольская ул 328 ;;40,6;1;40,6;;37,
1445;Комсомольская ул 332 ;80;3518,5;3;132,8;3,77;4,56,66,
1446;Комсомольская ул 334 ;81;3575;5;265,1;7,42;1, 49, 69, 73, 77
1447;Комсомольская ул 338 ;81;3569,6;7;335,7;9,40;6, 33, 39, 40, 43, 70, 71
1448;Комсомольская ул 340 ;66;2860,2;6;290,4;10,15;9, 23, 31, 33, 43, 57
1449;Комсомольская ул 342 ;83;3553,5;0;0;0,00;
1450;Комсомольская ул 344 ;100;4527,7;8;361,5;7,98;3, 8, 22, 28, 45, 50, 52, 77
1451;Комсомольская ул 344 ;;42,8;1;0;;83
1452;Комсомольская ул 346 ;81;3566,7;0;0;0,00;
1453;Комсомольская ул 350 ;80;3532,2;0;0;0,00;
1454;Комсомольская ул 352 ;80;3518,75;0;0;0,00;
1455;Комсомольская ул 354 ;79;3483,43;0;0;0,00;
1456;Комсомольская ул 356 ;66;2822,7;5;249,2;8,83;8,19,28,57,58,
1457;Комсомольская ул 358 ;64;2533,4;8;366,1;14,45;2, 4, 20, 36, 39, 53, 59, 63
1458;Комсомольская ул 360 ;100;3400,6;0;0;0,00;
1459;Комсомольская ул 362 ;81;3530;8;391,1;11,08;18, 20, 35.1, 48, 53, 57, 61, 63
